ID,TEXT,EVENT_TYPE,EVENT_GROUP,SENTIMENT_VALENCE,EMOTION,SARCASM,TENSE,CERTAINTY,GENERATED
evt_000001,I finally got the job at the marketing agency after three rounds of interviews!,got_hired,employment,0.9,joy,FALSE,past,1,TRUE
evt_000002,Sarah just accepted a position at the tech startup downtown.,got_hired,employment,0.7,neutral,FALSE,past,1,TRUE
evt_000003,"Oh great, I'm starting at the call center on Monday - living the dream.",got_hired,employment,0.2,frustration,TRUE,present,1,TRUE
evt_000004,My brother landed his dream job at Google after months of preparation.,got_hired,employment,0.95,pride,FALSE,past,1,TRUE
evt_000005,I think I got hired but honestly I'm terrified about starting this new role.,got_hired,employment,0.3,,FALSE,past,0.8,TRUE
evt_000006,They offered me the position and I said yes before I could think twice.,got_hired,employment,0.6,anxiety,FALSE,past,1,TRUE
evt_000007,"After being unemployed for eight months, I finally have a job again.",got_hired,employment,0.8,relief,FALSE,present,1,TRUE
evt_000008,Jessica will be joining the team as our new project manager next week.,got_hired,employment,0.7,neutral,FALSE,future,1,TRUE
evt_000009,I'm so grateful they took a chance on me despite my lack of experience.,got_hired,employment,0.85,gratitude,FALSE,present,1,TRUE
evt_000010,He got hired at the restaurant but the pay is absolutely terrible.,got_hired,employment,0.3,frustration,FALSE,past,1,TRUE
evt_000011,I might have landed the internship but I'm still waiting for the official confirmation.,got_hired,employment,0.6,hope,FALSE,past,0.6,TRUE
evt_000012,My dad just got hired as a security guard at the mall.,got_hired,employment,0.6,neutral,FALSE,past,1,TRUE
evt_000013,They hired me on the spot which was both exciting and kind of suspicious.,got_hired,employment,0.5,confusion,FALSE,past,1,TRUE
evt_000014,I'm starting my new job tomorrow and I have no idea what I'm doing.,got_hired,employment,0.4,anxiety,FALSE,present,1,TRUE
evt_000015,She managed to get hired at the law firm despite having no legal background.,got_hired,employment,0.8,surprise,FALSE,past,1,TRUE
evt_000016,I got the job but now I'm wondering if I made a huge mistake leaving my old company.,got_hired,employment,0.4,confusion,FALSE,past,1,TRUE
evt_000017,My neighbor's son just got hired at the bank as a teller.,got_hired,employment,0.7,neutral,FALSE,past,1,TRUE
evt_000018,I can't believe I actually got hired at my dream company!,got_hired,employment,0.95,joy,FALSE,past,1,TRUE
evt_000019,They said I start Monday but I haven't signed any paperwork yet.,got_hired,employment,0.5,confusion,FALSE,future,0.7,TRUE
evt_000020,Got hired at the retail store - it's not glamorous but it pays the bills.,got_hired,employment,0.6,neutral,FALSE,past,1,TRUE
evt_000021,My cousin landed a job at the hospital as a nurse practitioner.,got_hired,employment,0.8,pride,FALSE,past,1,TRUE
evt_000022,I think they're going to hire me but the salary negotiation is still ongoing.,got_hired,employment,0.6,hope,FALSE,future,0.7,TRUE
evt_000023,She got hired as a freelance graphic designer for multiple clients.,got_hired,employment,0.7,neutral,FALSE,past,1,TRUE
evt_000024,"After 50 applications, someone finally said yes to hiring me.",got_hired,employment,0.8,relief,FALSE,past,1,TRUE
evt_000025,I'm supposedly starting next week but they haven't given me any details yet.,got_hired,employment,0.4,confusion,FALSE,future,0.6,TRUE
evt_000026,He got hired at the construction company and starts at dawn tomorrow.,got_hired,employment,0.7,neutral,FALSE,past,1,TRUE
evt_000027,I landed the teaching position but I'm nervous about managing a classroom.,got_hired,employment,0.5,anxiety,FALSE,past,1,TRUE
evt_000028,My sister just got hired at the beauty salon as a hairstylist.,got_hired,employment,0.7,neutral,FALSE,past,1,TRUE
evt_000029,They hired me as a contractor which means no benefits whatsoever.,got_hired,employment,0.4,frustration,FALSE,past,1,TRUE
evt_000030,I'm thrilled to announce that I got hired at the nonprofit organization!,got_hired,employment,0.9,joy,FALSE,past,1,TRUE
evt_000031,He supposedly got the job but I'll believe it when I see his first paycheck.,got_hired,employment,0.4,confusion,FALSE,past,0.3,TRUE
evt_000032,I got hired at the coffee shop and I'm actually excited about it.,got_hired,employment,0.8,joy,FALSE,past,1,TRUE
evt_000033,My friend got hired at the accounting firm right after graduation.,got_hired,employment,0.7,neutral,FALSE,past,1,TRUE
evt_000034,I'm starting at the warehouse next Monday but I'm dreading the early shifts.,got_hired,employment,0.3,frustration,FALSE,future,1,TRUE
evt_000035,She got hired as a remote data analyst which is perfect for her lifestyle.,got_hired,employment,0.85,joy,FALSE,past,1,TRUE
evt_000036,I think I got the job but they want me to take a drug test first.,got_hired,employment,0.6,hope,FALSE,past,0.8,TRUE
evt_000037,My uncle got hired at the factory after being laid off six months ago.,got_hired,employment,0.75,relief,FALSE,past,1,TRUE
evt_000038,They hired me but I have to relocate to a city I've never been to.,got_hired,employment,0.5,anxiety,FALSE,past,1,TRUE
evt_000039,I got hired at the startup but I'm worried it might not survive the year.,got_hired,employment,0.4,anxiety,FALSE,past,1,TRUE
evt_000040,My roommate just got hired as a bartender at the new club downtown.,got_hired,employment,0.7,neutral,FALSE,past,1,TRUE
evt_000041,I'm officially hired and I can finally stop eating ramen for every meal.,got_hired,employment,0.8,relief,FALSE,present,1,TRUE
evt_000042,She got hired at the veterinary clinic and couldn't be happier.,got_hired,employment,0.9,joy,FALSE,past,1,TRUE
evt_000043,I might be getting hired but the company seems a bit sketchy to me.,got_hired,employment,0.4,confusion,FALSE,present,0.6,TRUE
evt_000044,He got hired at the pizza place and starts training this weekend.,got_hired,employment,0.7,neutral,FALSE,past,1,TRUE
evt_000045,I finally got hired but the commute is going to be absolutely brutal.,got_hired,employment,0.5,frustration,FALSE,past,1,TRUE
evt_000046,My mom got hired as a substitute teacher at the elementary school.,got_hired,employment,0.7,neutral,FALSE,past,1,TRUE
evt_000047,They hired me on a probationary basis so I better not mess this up.,got_hired,employment,0.5,anxiety,FALSE,past,1,TRUE
evt_000048,I got hired at the bookstore which is literally my happy place.,got_hired,employment,0.9,joy,FALSE,past,1,TRUE
evt_000049,My colleague just got hired at a competing company for twice the salary.,got_hired,employment,0.7,neutral,FALSE,past,1,TRUE
evt_000050,I'm supposed to start tomorrow but I still haven't received my work schedule.,got_hired,employment,0.4,confusion,FALSE,future,0.7,TRUE
evt_000051,She got hired at the museum as a tour guide and loves sharing knowledge.,got_hired,employment,0.85,joy,FALSE,past,1,TRUE
evt_000052,I got hired but the training period is unpaid which is frustrating.,got_hired,employment,0.3,frustration,FALSE,past,1,TRUE
evt_000053,My ex-boyfriend got hired at the same company I work at - great.,got_hired,employment,0.2,frustration,TRUE,past,1,TRUE
evt_000054,I think they're going to hire me but I'm not sure if I even want the job anymore.,got_hired,employment,0.4,confusion,FALSE,future,0.6,TRUE
evt_000055,He got hired at the gym as a personal trainer which suits him perfectly.,got_hired,employment,0.8,joy,FALSE,past,1,TRUE
evt_000056,I got hired at the tech company but I'm way in over my head.,got_hired,employment,0.3,anxiety,FALSE,past,1,TRUE
evt_000057,My girlfriend just got hired as a social media manager for a fashion brand.,got_hired,employment,0.7,neutral,FALSE,past,1,TRUE
evt_000058,They hired me as a part-time assistant but I was hoping for full-time.,got_hired,employment,0.5,frustration,FALSE,past,1,TRUE
evt_000059,I'm starting at the newspaper as a junior reporter next month.,got_hired,employment,0.7,neutral,FALSE,future,1,TRUE
evt_000060,She got hired at the daycare center and is wonderful with kids.,got_hired,employment,0.8,joy,FALSE,past,1,TRUE
evt_000061,I think I got the job but I'm not sure if I can handle the workload.,got_hired,employment,0.4,anxiety,FALSE,past,0.7,TRUE
evt_000062,My brother got hired at the delivery company as a driver.,got_hired,employment,0.6,neutral,FALSE,past,1,TRUE
evt_000063,I got hired at the law office but I'm intimidated by all the experienced lawyers.,got_hired,employment,0.4,anxiety,FALSE,past,1,TRUE
evt_000064,They hired me as a seasonal worker which means I'll be unemployed again in three months.,got_hired,employment,0.3,frustration,FALSE,past,1,TRUE
evt_000065,My aunt got hired at the hospital as a receptionist after retiring from teaching.,got_hired,employment,0.7,neutral,FALSE,past,1,TRUE
evt_000066,I'm finally hired at the advertising agency after a grueling interview process.,got_hired,employment,0.8,relief,FALSE,present,1,TRUE
evt_000067,She got hired at the animal shelter which is perfect since she loves dogs.,got_hired,employment,0.9,joy,FALSE,past,1,TRUE
evt_000068,I supposedly got hired but they haven't returned my calls in three days.,got_hired,employment,0.3,confusion,FALSE,past,0.4,TRUE
evt_000069,He got hired at the grocery store but the hours are completely unpredictable.,got_hired,employment,0.4,frustration,FALSE,past,1,TRUE
evt_000070,I got hired at the research lab and I'm excited to contribute to real science.,got_hired,employment,0.9,joy,FALSE,past,1,TRUE
evt_000071,My coworker's daughter just got hired at the same company we work at.,got_hired,employment,0.7,neutral,FALSE,past,1,TRUE
evt_000072,They hired me but I have to work weekends which ruins my social life.,got_hired,employment,0.4,frustration,FALSE,past,1,TRUE
evt_000073,I'm starting at the consulting firm next week and I'm both nervous and excited.,got_hired,employment,0.6,anxiety,FALSE,future,1,TRUE
evt_000074,She got hired at the bank as a loan officer right out of college.,got_hired,employment,0.7,neutral,FALSE,past,1,TRUE
evt_000075,I might have gotten hired but the company culture seems toxic from what I've heard.,got_hired,employment,0.3,anxiety,FALSE,past,0.6,TRUE
evt_000076,My husband got hired at the insurance company after being unemployed for a year.,got_hired,employment,0.8,relief,FALSE,past,1,TRUE
evt_000077,I got hired at the real estate office but I know nothing about selling houses.,got_hired,employment,0.4,anxiety,FALSE,past,1,TRUE
evt_000078,"They hired me as a night security guard - hello insomnia, my old friend.",got_hired,employment,0.3,frustration,TRUE,past,1,TRUE
evt_000079,My best friend just got hired at the marketing agency I've been trying to get into.,got_hired,employment,0.6,neutral,FALSE,past,1,TRUE
evt_000080,I'm officially hired and can finally afford to move out of my parents' house.,got_hired,employment,0.85,joy,FALSE,present,1,TRUE
evt_000081,She got hired at the fitness center as a yoga instructor.,got_hired,employment,0.7,neutral,FALSE,past,1,TRUE
evt_000082,I think they're going to hire me but the background check is taking forever.,got_hired,employment,0.5,anxiety,FALSE,future,0.7,TRUE
evt_000083,He got hired at the mechanic shop and loves working with his hands.,got_hired,employment,0.8,joy,FALSE,past,1,TRUE
evt_000084,I got hired but the dress code is so strict I need to buy a whole new wardrobe.,got_hired,employment,0.4,frustration,FALSE,past,1,TRUE
evt_000085,My neighbor got hired at the post office as a mail carrier.,got_hired,employment,0.7,neutral,FALSE,past,1,TRUE
evt_000086,They hired me on a trial basis so I'm under constant pressure to prove myself.,got_hired,employment,0.4,anxiety,FALSE,past,1,TRUE
evt_000087,I'm thrilled to have gotten hired at the children's hospital as a nurse.,got_hired,employment,0.9,joy,FALSE,present,1,TRUE
evt_000088,She supposedly got hired but I'm skeptical about this new company.,got_hired,employment,0.4,confusion,FALSE,past,0.3,TRUE
evt_000089,I got hired at the travel agency which feeds my wanderlust perfectly.,got_hired,employment,0.9,joy,FALSE,past,1,TRUE
evt_000090,My son got hired at the electronics store as a sales associate.,got_hired,employment,0.7,neutral,FALSE,past,1,TRUE
evt_000091,I think I got the job but the salary is way lower than I expected.,got_hired,employment,0.3,frustration,FALSE,past,0.8,TRUE
